Boston

Highest Temperature  - Humidity
84	52%
84	47%
79	46%
79	47%
84	49%
80	57%
75	66%
77	56%
78	53%
76	57%
78	60%
78	59%
79	60%
80	60%
81	60%


San Francisco

Highest Temperature  - Humidity

63	75%
64	73%
64	72%
64	70%
63	71%
63	70%
63	72%
62	72%
61	76%
60	79%
59	81%
59	82%
58	82%
58	83%
58	84%
57	85%
